"/home/drh/Music/Indigo Girls - Hammer And A Nail.mp3","Indigo Girls","Nomads - Indians - Saints","Hammer And A Nail"
"/home/drh/Music/Ella Fitzgerald - At Last.mp3","Ella Fitzgerald","Her Best","At Last"
"/home/drh/Music/Don Ross - Ginger An Fred.mp3","Don Ross","Bearing Straight","Ginger An Fred"
"/home/drh/Music/Alphaville - Big in Japan (Pop).mp3","Alphaville","Forever Young","Big In Japan (Pop)"
"/home/drh/Music/Lee Ritenour - Daddy Longlicks.mp3","Lee Ritenour's 6 String Theory","6 String Theory","Daddy Longlicks [feat. Joe Robinson]"
"/home/drh/Music/ACDC - Hells Bells.mp3","AC/DC","Back In Black","Hells Bells"
"/home/drh/Music/Elton John - Saturday Night's All Right.mp3","Elton John","Goodbye Yellow Brick Road","Saturday's All Right"
"/home/drh/Music/Garth Brooks - Learning To Live Again.mp3","Garth Brooks","The Chase (The Limited Series)","Learning To Live Again"
"/home/drh/Music/Fleetwood Mac - Love In Store.mp3","Fleetwood Mac","Mirage (Remastered)","Love In Store (2016 Remastered)"
"/home/drh/Music/Foreigner - Lonely Children.mp3","Foreigner","Double Vision [Bonus Tracks]","Lonely Children"
"/home/drh/Music/Billy Joel - Captain Jack.mp3","Billy Joel","Greatest Hits (Vol I)","Captain Jack"
"/home/drh/Music/Alanis Morissette - You Oughta Know.mp3","Alanis Morissette","Jagged Little Pill","You Oughta Know"
"/home/drh/Music/Luther Vandross - Sometimes It's Only Love.mp3","Luther Vandross","Power Of Love","Sometimes It's Only Love"
"/home/drh/Music/Michael Jackson - Man in the Mirror.mp3","Michael Jackson","The Essential Michael Jackson [International] Disc 2","Man in the Mirror"
"/home/drh/Music/Jane Krakowski - Run Rudolph Run.mp3","Jane Krakowski","A Very Ally Christmas","Run Rudolph Run"
"/home/drh/Music/Chris Daughtry - Torches.mp3","Daughtry","It's Not Over....The Hits So Far","Torches"
"/home/drh/Music/Elton John - Country Comfort.mp3","Elton John","Your Songs","Country Comfort"
"/home/drh/Music/Ray Charles - Bye Bye Love.mp3","Ray Charles","Modern Sounds in Country and Western Music, Vols 1 & 2","Bye Bye Love"
"/home/drh/Music/Hot Chocolate - You Sexy Thing.mp3","Hot Chocolate","Super Hits of the '70s: Have a Nice Day, Vol. 15","You Sexy Thing"
"/home/drh/Music/Old Crow Medicine Show - Wagon Wheel.mp3","Old Crow Medicine Show","Old Crow Medicine Show","Wagon Wheel"
"/home/drh/Music/Dan Seals - God Must Be A Cowboy at Heart.mp3","Dan Seals","Portrait","God Must be a Cowboy at Heart"
"/home/drh/Music/Morris Albert - Feelings.mp3","Morris Albert","Super Hits of the '70s: Have a Nice Day, Vol. 17","Feelings"
"/home/drh/Music/Stories - Brother Louie.mp3","Stories","Super Hits of the '70s: Have a Nice Day, Vol. 10","Brother Louie"
"/home/drh/Music/Fountains of Wayne - Bright Future In Sales.mp3","Fountains Of Wayne","Welcome Interstate Managers","Bright Future In Sales [Clean]"
"/home/drh/Music/Boston - A Man I'll Never Be.mp3","Boston","Don't Look Back","A Man I'll Never Be"
"/home/drh/Music/Blue Oyster Cult - Fire Of Unknown Origin.mp3","Blue Oyster Cult","Fire Of Unknown Origin","Fire Of Unknown Origin"
"/home/drh/Music/Calling - Wherever You Will Go.mp3","Calling","American Anthems","Wherever You Will Go"
"/home/drh/Music/Van Morrison - Moondance.mp3","Van Morrison","The Best Of Van Morrison","Moondance"
"/home/drh/Music/Supertramp - Child of Vision.mp3","Supertramp","Breakfast in America","Child of Vision"
"/home/drh/Music/Sarah Harmer - Pendulums.mp3","Sarah Harmer","All of Our Names","Pendulums"
"/home/drh/Music/America - Don't Cross The River.mp3","America","Homecoming","Don't Cross the River"
"/home/drh/Music/Nine Days - So Far Away.mp3","Nine Days","The Madding Crowd","So Far Away"
"/home/drh/Music/Nickelback - Follow You Home.mp3","Nickelback","All the Right Reasons","Follow You Home"
"/home/drh/Music/Smash Mouth - Beer Goggles.mp3","Smash Mouth","All Star Smash Hits","Beer Goggles"
"/home/drh/Music/Chet Atkins - Why Worry.mp3","Chet Atkins","Sails","Why Worry"
"/home/drh/Music/Keith Urban - She's My 11.mp3","Keith Urban","Fuse","She's My 11"
"/home/drh/Music/Brain Setzer - Switchblade 327.mp3","The Brian Setzer Orchestra","Jump, Jive An' Wail: The Very Best Of The Brian Setzer Orchestra (1994-2000)","Switchblade 327 (Album Version)"
"/home/drh/Music/Lady Antebellum - Golden.mp3","Lady Antebellum","Golden","Golden"
"/home/drh/Music/Styx - Heavy Metal Poisoning.mp3","Styx","Kilroy was here","Heavy Metal Poisoning"
"/home/drh/Music/ELO - Turn to Stone.mp3","ELO","Out of the Blue","Turn to Stone"
"/home/drh/Music/APP - Vulture Culture.mp3","Alan Parsons Project","Vulture Culture","Vulture Culture"
"/home/drh/Music/Angels & Airwaves - Breathe.mp3","Angels & Airwaves","I-Empire","Breathe"
"/home/drh/Music/Redeye - Games.mp3","Redeye","Super Hits of the '70s: Have a Nice Day, Vol. 5","Games"
"/home/drh/Music/Mormon Tabernacle Choir - The First Noel.mp3","Mormon Tabernacle Choir","Christmas with the MTC","The First Noel"
"/home/drh/Music/Hurricane Smith - Oh, Babe, What Would You Say-.mp3","Hurricane Smith","Super Hits of the '70s: Have a Nice Day, Vol. 10","Oh, Babe, What Would You Say?"
"/home/drh/Music/Joan Jett - Everyday People.mp3","Joan Jett & the Blackhearts","Greatest Hits [Blackheart] Disc 2","Everyday People"
"/home/drh/Music/Incubus - When It Comes.mp3","Incubus","Make Yourself","When It Comes"
"/home/drh/Music/The Four Seasons  (Vivaldi).mp3","Telarc Sampler","Telarc Sampler Vol.1","The Four Seasons  (Vivaldi)"
"/home/drh/Music/Ashley Tisdale - He Said She Said.mp3","Ashley Tisdale","Headstrong","He Said She Said"
"/home/drh/Music/Jason Aldean - Good To Go.mp3","Jason Aldean","Jason Aldean","Good To Go"
"/home/drh/Music/Foreigner - Break It Up.mp3","Foreigner","4","Break It Up"
"/home/drh/Music/Assembled Multitude - Overture from Tommy.mp3","Assembled Multitude","Super Hits of the '70s: Have a Nice Day, Vol. 16","Overture from Tommy"
"/home/drh/Music/Styx - Eddie.mp3","Styx","Cornerstone","Eddie"
"/home/drh/Music/James Taylor - Walking Man.mp3","James Taylor","Greatest Hits","Walking Man"
"/home/drh/Music/Sweathog - Hallelujah.mp3","Sweathog","Super Hits of the '70s: Have a Nice Day, Vol. 7","Hallelujah"
"/home/drh/Music/10,000 Maniacs - The Painted Desert.mp3","10,000 Maniacs","In My Tribe","The Painted Desert"
"/home/drh/Music/Lady Antebellum - It Ain't Pretty.mp3","Lady Antebellum","Golden","It Ain't Pretty"
"/home/drh/Music/John Standefer - It Might Be You.mp3","John Standefer","Unknown album (10/17/2017 3:42:49 PM)","It Might Be You"
"/home/drh/Music/Andy Gibb - An Everlasting Love.mp3","Andy Gibb","Andy Gibb (Greatest Hits)","An Everlasting Love"
"/home/drh/Music/Sara Evans - As If.mp3","Sara Evans","Greatest Hits","As If"
"/home/drh/Music/Karen Carpenter - Making Love in the Afternoon.mp3","Karen Carpenter","Karen Carpenter","Making Love in the Afternoon"
"/home/drh/Music/Alison Krauss - Stay.mp3","Alison Krauss","Forget About It","Stay"
"/home/drh/Music/Alan Jackson - Tall, Tall Trees.mp3","Alan Jackson","The Greatest Hits Collection","Tall, Tall Trees"
"/home/drh/Music/Mishara - Be Still My Heart.mp3","Peter Bradley Adams","The Artist Sampler - Mishara & More","Be Still My Heart"
"/home/drh/Music/Donna Summer - Hot Stuff.mp3","Donna Summer","20th Century Masters - The Millennium Collection: The Best of Donna Summer","Hot Stuff"
"/home/drh/Music/Andreas Vollenweider - Down to the Moon.mp3","Andreas Vollenweider","Down to the Moon","Down to the Moon"
"/home/drh/Music/Don Ross - New Aaron.mp3","Don Ross","Bearing Straight","New Aaron"
"/home/drh/Music/Eric Carmen - All By Myself.mp3","Eric Carmen","22 All Time Organ Favorites","All By Myself"
"/home/drh/Music/Whitesnake - Is This Love.mp3","Whitesnake","American Anthems","Is This Love"
"/home/drh/Music/Chris Isaak - Please.mp3","Chris Isaak","Speak of the Devil","Please"
"/home/drh/Music/Eartha Kitt - Nothin for Christmas.mp3","Eartha Kitt","Hip Holidays","Nothin' For Christmas"
"/home/drh/Music/Lulu - Oh Me Oh My (I'm a Fool for You Baby).mp3","Lulu","Super Hits of the '70s: Have a Nice Day, Vol. 6","Oh Me Oh My (I'm a Fool for You Baby)"
"/home/drh/Music/Boston - Party.mp3","Boston","Don't Look Back","Party"
"/home/drh/Music/Pitbull - I Know You Want Me (Calle Ocho) (Radio Edit).mp3","Pitbull","I Know You Want Me (Calle Ocho)","I Know You Want Me (Calle Ocho) (Radio Edit)"
"/home/drh/Music/Sara Evans - Some Things Never Change.mp3","Sara Evans","Greatest Hits","Some Things Never Change"
"/home/drh/Music/Britney Spears - Stronger.mp3","Britney Spears","Ooops! I Did It Again","Stronger"
"/home/drh/Music/Elton John - Harmony.mp3","Elton John","Your Songs","Harmony"
"/home/drh/Music/Eminem - Guts Over Fear.mp3","Eminem","ShadyXV [Explicit]","Guts Over Fear"
"/home/drh/Music/Bryan Tey - Deck the Halls.mp3","Bryan Tey","Unknown album (1/2/2022 5:25:39 PM)","Deck the Halls"
"/home/drh/Music/Boston - More than a Feeling.mp3","Boston","American Anthems","More Than a Feeling"
"/home/drh/Music/Travis Tritt - Don't Give Your Heart To A Rambler.mp3","Travis Tritt","It's All About To Change","Don't Give Your Heart To A Rambler"
"/home/drh/Music/Death Cab for Cutie - I Will Follow You Into The Dark.mp3","Death Cab For Cutie","Plans","I Will Follow You Into The Dark"
"/home/drh/Music/Styx - Don't Let It End.mp3","Styx","Kilroy was here","Don't Let It End"
"/home/drh/Music/Taylor Swift - The Lucky One.mp3","Taylor Swift","Red","The Lucky One"
"/home/drh/Music/Don Ross - Michael, Michael, Michael.mp3","Don Ross","Passion Session","Michael, Michael, Michael"
"/home/drh/Music/Yes - Owner Of A Lonely Heart.mp3","Yes","90125","Owner Of A Lonely Heart"
"/home/drh/Music/Barry Manilow - All The Time.mp3","Barry Manilow","Greatest Hits","All The Time"
"/home/drh/Music/Clay Aiken - This Is The Night.mp3","Clay Aiken","Bridge Over Troubled Water/This Is The Night","This Is The Night"
"/home/drh/Music/Disney - A Whole New World(Luther & Vanessa).mp3","Disney","Aladdin","A Whole New World"
"/home/drh/Music/REM - Half A World Away.mp3","R.E.M.","Out of Time","Half a World Away"
"/home/drh/Music/Atreyu - Deanne the Arsonist.mp3","Atreyu","Suicide Notes&Butterfly Kisses","Deanne The Arsonist"
"/home/drh/Music/Joan Jett - I Hate Myself for Loving You.mp3","Joan Jett & the Blackhearts","Greatest Hits [Blackheart] Disc 2","I Hate Myself for Loving You"
"/home/drh/Music/REM - Texarkana.mp3","R.E.M.","Out of Time","Texarkana"
"/home/drh/Music/Dixie Chicks - The Long Way Around.mp3","Dixie Chicks","Playlist: The Very Best of Dixie Chicks","The Long Way Around"
"/home/drh/Music/Indigo Girls - Language Or The Kiss (Live).mp3","Indigo Girls","1200 Curfews (Disc 2)","Language Or The Kiss (Live)"
"/home/drh/Music/Jake Shimabukuro - Hula Girl (acoustic).mp3","Jake Shimabukuro","Hula Girls","Hula Girl (acoustic)"
"/home/drh/Music/Bruno Mars - 777 [Explicit].mp3","Bruno Mars, Anderson .Paak, Silk Sonic","An Evening With Silk Sonic [Explicit]","777 [Explicit]"
"/home/drh/Music/Elton John - Pinball Wizard.mp3","Elton John","Elton John's Greatest Hits Volume II","Pinball Wizard"
"/home/drh/Music/Don Ross - Dreamcatcher.mp3","Andy McKee","The Thing That Came From Somewhere","Dreamcatcher"
"/home/drh/Music/Megan Slankard - If I Knew.mp3","Megan Slankard","Running on Machinery","If I Knew"
"/home/drh/Music/Neil Diamond - Forever In Blue Jeans.mp3","Neil Diamond","The Very Best of Neil Diamond: The Original Studio Recordings","Forever in Blue Jeans"
"/home/drh/Music/Amy Grant - Tennessee Christmas.mp3","Amy Grant","A Christmas Album","Tennessee Christmas"
"/home/drh/Music/Rippingtons - Take Me With You.mp3","Rippingtons","Curves Ahead","Take Me With You"
"/home/drh/Music/Dan Fogelberg - Tucson Arizona.mp3","Dan Fogelberg","Windows and Walls","Tucson, Arizona (Gazette)"
"/home/drh/Music/Stereolab - Margerine Melodie.mp3","Stereolab","Margerine Eclipse","Margerine Melodie"
"/home/drh/Music/Jimmy Wayne - Are You Ever Gonna Love Me.mp3","Jimmy Wayne","Jimmy Wayne","Are You Ever Gonna Love Me"
"/home/drh/Music/Lego Movie - Everything Is Awesome.mp3","Lego Movie","The Lego® Movie (Original Motion Picture Soundtrack)","Everything Is Awesome"
"/home/drh/Music/Fergie - Fergalicious.mp3","Fergie","The Dutchess","Fergalicious"
"/home/drh/Music/Vivaldi L'inverno.mp3","Vivaldi","Classical Album","L'inverno"
"/home/drh/Music/Nelly Furtado - Powerless.mp3","Nelly Furtado","Folklore","Powerless"
"/home/drh/Music/Andreas Vollenweider - La Lune et Lenfant.mp3","Andreas Vollenweider","Down to the Moon","La Lune et Lenfant"
"/home/drh/Music/Puccini Che gelida manina.mp3","Puccini","Classical Album","Che gelida manina"
"/home/drh/Music/George Winston - Peace.mp3","George Winston","December","Peace"
"/home/drh/Music/John Waite - Missing You.mp3","John Waite","American Anthems","Missing You"
"/home/drh/Music/Dire Straits - Tunnel Of Love.mp3","Dire Straits","Private Investigations: The Best of Dire Straits & Mark Knopfler Disc 1","Tunnel Of Love"
"/home/drh/Music/Bobby Bloom - Montego Bay.mp3","Bobby Bloom","Super Hits of the '70s: Have a Nice Day, Vol. 3","Montego Bay"
"/home/drh/Music/Queen - Under Pressure.mp3","Queen","Classic Queen","Under Pressure"
"/home/drh/Music/Foreigner - Head Games.mp3","Foreigner","Records","Head Games"
"/home/drh/Music/Blues Traveler - Gina.mp3","Blues Traveler","Blues Traveler","Gina"
"/home/drh/Music/Lady Antebellum - Can't Stand the Rain.mp3","Lady Antebellum","Golden","Can't Stand the Rain"
"/home/drh/Music/Ian Matthews - Except for a Tear.mp3","Ian Matthews","Walking A Changing Line","Except for a Tear"
"/home/drh/Music/Kathy Mattea - Where've You Been.mp3","Kathy Mattea","A Collection of Hits","Where've You Been"
"/home/drh/Music/10,000 Maniacs - Jezebel.mp3","10,000 Maniacs","Our Time in Eden","Jezebel"
"/home/drh/Music/Poncho Sanchez - Mary Ann.mp3","Poncho Sanchez","Blue Smoke","Mary Ann"
"/home/drh/Music/Falco - Vienna Calling.mp3","Falco","Meine Schonsten Erfolge","Vienna Calling"
"/home/drh/Music/Olivia Newton-John - I Honestly Love You.mp3","Olivia Newton-John","Gold","I Honestly Love You"
"/home/drh/Music/Lady Gaga - Money Honey.mp3","Lady Gaga","The Fame [Bonus Track]","Money Honey"
"/home/drh/Music/Outkast - The Way You Move.mp3","Outkast","Speakerboxx/The Love Below","The Way You Move"
"/home/drh/Music/Dire Straits - Heavy Fuel.mp3","Dire Straits","On Every Street","Heavy Fuel"
"/home/drh/Music/Ashley Tisdale - Goin' Crazy.mp3","Ashley Tisdale","Headstrong","Goin' Crazy"
"/home/drh/Music/Mark Wills - Places I've Never Been.mp3","Mark Wills","Mark Wills","Places I've Never Been"
"/home/drh/Music/Ian Matthews - King of the Night (vinyl).mp3","Ian Matthews","Stealin' Home","King of the Night (vinyl)"
"/home/drh/Music/Smash Mouth - Then The Morning Comes.mp3","Smash Mouth","All Star Smash Hits","Then the Morning Comes"
"/home/drh/Music/Barenaked Ladies - Pinch Me (live).mp3","Barenaked Ladies","BNL Rocks Red Rocks","Pinch Me (live)"
"/home/drh/Music/Garth Brooks - Two Of A Kind, Workin' On A Full House.mp3","Garth Brooks","No Fences (The Limited Series)","Two Of A Kind, Workin' On A Full House"
"/home/drh/Music/Brian Bromberg - Freedom Jazz Dance.mp3","Brian Bromberg","Wood","Freedom Jazz Dance"
"/home/drh/Music/Megan Slankard - What a Way to Fail.mp3","Megan Slankard","Running on Machinery","What a Way to Fail"
"/home/drh/Music/Hootie - I Go Blind.mp3","Hootie","Scattered, Smothered and Covered","I Go Blind"
"/home/drh/Music/Good Charlotte - Hold On.mp3","Good Charlotte","The Young And The Hopeless","Hold On"
"/home/drh/Music/Richard Marx - Hazard.mp3","Richard Marx","American Anthems","Hazard"
"/home/drh/Music/Genesis - That's All.mp3","Genesis","Genesis","That's All"
"/home/drh/Music/Mark Lindsey - Arizona.mp3","Mark Lindsay","Super Hits of the '70s: Have a Nice Day, Vol. 1","Arizona"
"/home/drh/Music/ELO - Rockaria.mp3","ELO","A New World Record","Rockaria"
"/home/drh/Music/Garth Brooks - Much To Young (To Feel This Damn Old).mp3","Garth Brooks","The Limited Series","Much To Young (To Feel This Damn Old)"
"/home/drh/Music/Steve Miller Band - Threshold.mp3","Steve Miller Band","Greatest Hits 1974-78","Threshold"
"/home/drh/Music/Fleetwood Mac - Go Insane.mp3","Fleetwood Mac","The Very Best of Fleetwood Mac [Reprise] Disc 2","Go Insane [Live, 1997]"
"/home/drh/Music/Crosby Stills & Nash - Southern Cross.mp3","Crosby, Stills & Nash","Greatest Hits","Southern Cross"
"/home/drh/Music/Of Monsters and Men - Sloom.mp3","Of Monsters and Men","My Head Is an Animal","Sloom"
"/home/drh/Music/George Strait - Love Without End, Amen.mp3","George Strait","50 Number Ones Disc 1","Love Without End, Amen"
"/home/drh/Music/Lionel Richie - My Love.mp3","Lionel Richie","Lionel Richie","My Love"
"/home/drh/Music/Hugo Montenegro - Classical Gas.mp3","Hugo Montenegro","Unknown album (11/8/2019 6:42:27 PM)","Classical Gas"
"/home/drh/Music/Maroon 5 - One More Night.mp3","Maroon 5","Overexposed (Deluxe Version) [+digital booklet]","One More Night"
"/home/drh/Music/Cat Stevens - Morning Has Broken.mp3","Cat Stevens","Teaser And The Firecat","Morning Has Broken"
"/home/drh/Music/Darius Rucker - Love Without You.mp3","Darius Rucker; Sheryl Crow","True Believers","Love Without You"
"/home/drh/Music/Paul Brandt - It's a Beautiful Thing.mp3","Paul Brandt","That's The Truth","It's A Beautiful Thing"
"/home/drh/Music/APP - Shadow Of A Lonely Man.mp3","Alan Parsons Project","Pyramid","Shadow Of A Lonely Man"
"/home/drh/Music/Elton John - The Bitch Is Back.mp3","Elton John","Elton John's Greatest Hits Volume II","The Bitch Is Back"
"/home/drh/Music/Lady Antebellum - I Run to You.mp3","Lady Antebellum","Lady Antebellum","I Run To You"
"/home/drh/Music/Olivia Newton-John - Totally Hot.mp3","Olivia Newton-John","Gold","Totally Hot"
"/home/drh/Music/Avril Lavigne - My World.mp3","Avril Lavigne","Let Go","My World"
"/home/drh/Music/Christina Perri - Unknown.mp3","Christina Perri","Lovestrong","[CD-ROM Track] [Multimedia Track]"
"/home/drh/Music/Paul Davis - Ride 'Em Cowboy.mp3","Paul Davis","Super Hits","Ride 'Em Cowboy"
"/home/drh/Music/Mercury 4 - Sorry.mp3","Mercury 4","Mercury 4","Sorry"
"/home/drh/Music/Christopher Cross - The Light Is On.mp3","Christopher Cross","Christopher Cross","The Light Is On"
"/home/drh/Music/Atlanta Rhythm Section - Imaginary Lover.mp3","Atlanta Rhythm Section","20th Century Masters: The Millennium Collection: Best Of Atlanta Rhythm Section","Imaginary Lover"
"/home/drh/Music/Tim Janis - O Holy Night.mp3","Tim Janis","Christmas Piano Collection","O Holy Night"
"/home/drh/Music/Three Dog Night - An Old Fashion Love Song.mp3","Three Dog Night","AM Gold - 1971","An Old Fashion Love Song"
"/home/drh/Music/Turtles - Makin' My Mind Up.mp3","The Turtles","Save the Turtles: The Turtles' Greatest","Makin' My Mind Up"
"/home/drh/Music/Brain Setzer - Pennsylvania 6-5000.mp3","The Brian Setzer Orchestra","Jump, Jive An' Wail: The Very Best Of The Brian Setzer Orchestra (1994-2000)","Pennsylvania 6-5000 (Album Version)"
"/home/drh/Music/Diana Ross - Why Do Fools Fall In Love.mp3","Diana Ross","Greatest Hits - The RCA Years","Why Do Fools Fall In Love"
"/home/drh/Music/Hot Butter - Popcorn.mp3","Hot Butter","Super Hits of the '70s: Have a Nice Day, Vol. 9","Popcorn"
"/home/drh/Music/Johnny Rivers - Secret Agent Man.mp3","Johnny Rivers","Anthology, 1964-1977 Disc 1","Secret Agent Man"
"/home/drh/Music/Lou Rawls - Santa Clause Is Comin' to Town.mp3","Lou Rawls","Hip Holidays, Vol. 2","Santa Clause Is Comin' to Town"
"/home/drh/Music/ELO - 21st Century Man.mp3","ELO","Time (Remaster)","21st Century Man"
"/home/drh/Music/Carly Simon - Haven't Got Time For The Pain.mp3","Carly Simon","The Best Of Carly Simon","Haven't Got Time For The Pain"
"/home/drh/Music/Killers - Romeo And Juliet.mp3","The Killers","Sawdust","Romeo And Juliet"
"/home/drh/Music/John Anderson - Seminole Wind.mp3","John Anderson","Seminole Wind","Seminole Wind"
"/home/drh/Music/Tim McGraw - My Next Thirty Years.mp3","Tim McGraw","Greatest Hits","My Next Thirty Years"
"/home/drh/Music/Tony Renis - Quando quando quando.mp3","Tony Renis","Quando Quando Quando","Quando quando quando"
"/home/drh/Music/Zero7 - Somersault.mp3","Zero7","When It Falls ","Somersault"
"/home/drh/Music/Elise LeGrow - You Never Can Tell.mp3","Elise LeGrow","Playing Chess","You Never Can Tell"
"/home/drh/Music/REO Speedwagon - One Too Many Girlfriends.mp3","REO Speedwagon","The Second Decade Of Rock And Roll 1981 To 1991","One Too Many Girlfriends"
"/home/drh/Music/Veronicas - You Ruin Me.mp3","Veronicas","The Veronicas [Explicit]","You Ruin Me"
"/home/drh/Music/Chess - One Night in Bangkok.mp3","Chess","A Year in Your Life: 1985, Vol. 2","One Night in Bangkok"
"/home/drh/Music/Count Basie - Blues for Royalty.mp3","Count Basie","Swing Shift","Blues for Royalty"
"/home/drh/Music/Old 97s - Can't Get a Line.mp3","Old 97s","Satellite Rides","Can't Get a Line"
"/home/drh/Music/Aerosmith - Love In An Elevator.mp3","Aerosmith","Pump","Love In An Elevator"
"/home/drh/Music/Chet Atkins - On a Roll.mp3","Chet Atkins","Sails","On a Roll"
"/home/drh/Music/Shannon Noll - Learn to Fly.mp3","Shannon Noll","That's What I'm Talking About","Learn to Fly"
